using cuda
{'loss': 0.1423, 'grad_norm': 0.884791910648346, 'learning_rate': 8.45003933910307e-06, 'epoch': 3.11}
{'loss': 0.1489, 'grad_norm': 0.937995433807373, 'learning_rate': 8.44217151848938e-06, 'epoch': 3.13}
{'loss': 0.1444, 'grad_norm': 2.346266746520996, 'learning_rate': 8.434303697875688e-06, 'epoch': 3.14}
{'loss': 0.1534, 'grad_norm': 0.6114970445632935, 'learning_rate': 8.426435877262e-06, 'epoch': 3.16}
{'loss': 0.1509, 'grad_norm': 0.7192180752754211, 'learning_rate': 8.418568056648308e-06, 'epoch': 3.18}
{'loss': 0.1407, 'grad_norm': 0.4744565784931183, 'learning_rate': 8.410700236034618e-06, 'epoch': 3.19}
{'loss': 0.1394, 'grad_norm': 0.7639997005462646, 'learning_rate': 8.40283241542093e-06, 'epoch': 3.21}
{'loss': 0.1476, 'grad_norm': 0.6237868666648865, 'learning_rate': 8.394964594807239e-06, 'epoch': 3.22}
{'loss': 0.1517, 'grad_norm': 0.4552915692329407, 'learning_rate': 8.387096774193549e-06, 'epoch': 3.24}
{'loss': 0.1491, 'grad_norm': 1.040092945098877, 'learning_rate': 8.379228953579859e-06, 'epoch': 3.25}
{'loss': 0.1393, 'grad_norm': 2.5028882026672363, 'learning_rate': 8.371361132966169e-06, 'epoch': 3.27}
{'loss': 0.1516, 'grad_norm': 0.7046459913253784, 'learning_rate': 8.363493312352479e-06, 'epoch': 3.29}
{'loss': 0.155, 'grad_norm': 0.8980669379234314, 'learning_rate': 8.35562549173879e-06, 'epoch': 3.3}
{'loss': 0.1438, 'grad_norm': 0.766045331954956, 'learning_rate': 8.347757671125098e-06, 'epoch': 3.32}
{'loss': 0.1531, 'grad_norm': 1.491442322731018, 'learning_rate': 8.33988985051141e-06, 'epoch': 3.33}
{'loss': 0.1436, 'grad_norm': 0.5442851781845093, 'learning_rate': 8.33202202989772e-06, 'epoch': 3.35}
{'loss': 0.1444, 'grad_norm': 0.9358777403831482, 'learning_rate': 8.324154209284028e-06, 'epoch': 3.36}
{'loss': 0.1556, 'grad_norm': 1.034749984741211, 'learning_rate': 8.31628638867034e-06, 'epoch': 3.38}
{'loss': 0.153, 'grad_norm': 0.5092683434486389, 'learning_rate': 8.308418568056648e-06, 'epoch': 3.4}
{'loss': 0.1467, 'grad_norm': 0.5563267469406128, 'learning_rate': 8.300550747442958e-06, 'epoch': 3.41}
{'loss': 0.1392, 'grad_norm': 1.047044038772583, 'learning_rate': 8.292682926829268e-06, 'epoch': 3.43}
{'loss': 0.1521, 'grad_norm': 0.7805644273757935, 'learning_rate': 8.284815106215579e-06, 'epoch': 3.44}
{'loss': 0.1422, 'grad_norm': 0.8115704655647278, 'learning_rate': 8.276947285601889e-06, 'epoch': 3.46}
{'loss': 0.1477, 'grad_norm': 1.760033130645752, 'learning_rate': 8.269079464988199e-06, 'epoch': 3.47}
{'loss': 0.1514, 'grad_norm': 0.56317538022995, 'learning_rate': 8.261211644374509e-06, 'epoch': 3.49}
{'loss': 0.1457, 'grad_norm': 0.8863754868507385, 'learning_rate': 8.253343823760819e-06, 'epoch': 3.51}
{'loss': 0.1636, 'grad_norm': 0.8606668710708618, 'learning_rate': 8.24547600314713e-06, 'epoch': 3.52}
{'loss': 0.1488, 'grad_norm': 1.00101637840271, 'learning_rate': 8.23760818253344e-06, 'epoch': 3.54}
{'loss': 0.1468, 'grad_norm': 0.8969941735267639, 'learning_rate': 8.22974036191975e-06, 'epoch': 3.55}
{'loss': 0.153, 'grad_norm': 0.8619713187217712, 'learning_rate': 8.221872541306058e-06, 'epoch': 3.57}
{'loss': 0.1563, 'grad_norm': 1.062780737876892, 'learning_rate': 8.21400472069237e-06, 'epoch': 3.58}
{'loss': 0.1446, 'grad_norm': 1.2820379734039307, 'learning_rate': 8.206136900078678e-06, 'epoch': 3.6}
{'loss': 0.1465, 'grad_norm': 0.6540851593017578, 'learning_rate': 8.198269079464988e-06, 'epoch': 3.62}
